Publication Title,PMID,Number of patients,Type of intervention,Drug(s)/Vaccine(s) - if used,"Start date
(if known)","End date 
(if known)","Duration
(in days)",Meta-analysis (Y/N),Type of trial,Retrospective/ Prospective,Geographic location,Date of publication
Safety and immunogenicity of the ChAdOx1 nCoV-19 (AZD1222) vaccine against SARS-CoV-2 in HIV infection: a single-arm substudy of a phase 2/3 clinical trial,34153264,54,Vaccine,ChAdOx1 nCoV-19,5-Nov-20,24-Nov-20,20,No,A single-arm substudy of a phase 2/3 clinical trial,,"Oxford, UK",18-Jun-21
"SARS-CoV-2 serology in 4000 health care and administrative staff across seven sites in Lombardy, Italy",34112899,"3,985",Other,,28-Apr-20,16-May-20,19,No,Cohort study,Retrospective," Lombardy, Italy",10-Jun-21
"Therapeutic versus prophylactic anticoagulation for patients admitted to hospital with COVID-19 and elevated D-dimer concentration (ACTION): an open-label, multicentre, randomised, controlled trial",34097856,615,Drug(s),Anticoagulants,24-Jun-20,26-Feb-21,248,No,"A pragmatic, open-label (with blinded adjudication), multicentre, randomised, controlled trial",,"São Paulo, Brazil",4-Jun-21
Characterization of dysphagia and laryngeal findings in COVID-19 patients treated in the ICU-An observational clinical study,34086717,25,Other,,,,,No,Case series,Prospective ,"Gothenburg, Sweden",4-Jun-21
Effects of a Single Dose of Ivermectin on Viral and Clinical Outcomes in Asymptomatic SARS-CoV-2 Infected Subjects: A Pilot Clinical Trial in Lebanon,34073401,100,Drug(s),Ivermectin,,,,No,A randomized controlled trial ,,Lebanon,26-May-21
COVID-19 Disease Severity and Death in Relation to Vitamin D Status among SARS-CoV-2-Positive UAE Residents,34069412,464,Other,,,,,No,A multicenter observational study,,Dubai,19-May-21
Calcifediol Treatment and Hospital Mortality Due to COVID-19: A Cohort Study,34064175,537,Drug(s),Calcifediol ,5-Feb-20,5-May-20,91,No,"Multicenter, open, non-randomized cohort study.",Retrospective,Spain,21-May-21
Effects of potent neutralizing antibodies from convalescent plasma in patients hospitalized for severe SARS-CoV-2 infection,34045486,86,Plasma,,8-Apr-20,14-Jun-20,68,No,A randomized trial,,The Netherlands,27-May-21
"Corticosteroids for hospitalized patients with mild to critically-ill COVID-19: a multicenter, retrospective, propensity score-matched study",34021229,236,Drug(s),Corticosteroids,1-May-20,30-Jun-20,61,No,"A multicenter, propensity
score‑matched study",Retrospective,Japan,21-May-21
Dynamics of neutralizing antibody responses to SARS-CoV-2 in patients with COVID-19: an observational study,34006847,545,Other,,,,,No,"Observational, cohort study",,"Guangzhou, China",18-May-21
Safety and efficacy of meplazumab in healthy volunteers and COVID-19 patients: a randomized phase 1 and an exploratory phase 2 trial,34001849,59,Drug(s),Meplazumab,22-Apr-20,29-May-20,38,No,"A single-centered, randomized, doubleblinded, placebo-controlled trial",," Xi'an, China",17-May-21
Respiratory Impairment Predicts Response to IL-1 and IL-6 Blockade in COVID-19 Patients With Severe Pneumonia and Hyper-Inflammation,33995419,210,Drug(s),Standard of care + Anakinra | Tocilizumab | Sarilumab ,25-Feb-20,20-May-20,86,No,Cohort study,Retrospective,"Milan, Italy",29-Apr-21
Randomized controlled trial of convalescent plasma therapy against standard therapy in patients with severe COVID-19 disease,33976287,40,Plasma,,,,,No,"A randomized, controlled open label pilot study",Prospective,Bahrain,11-May-21
Impact of high dose of baricitinib in severe COVID-19 pneumonia: a prospective cohort study in Bangladesh,33962573,238,Drug(s),Baricitinib ,1-Jul-20,1-Oct-20,93,No,Cohort study,Prospective,,7-May-21
One dose of SARS-CoV-2 vaccine exponentially increases antibodies in individuals who have recovered from symptomatic COVID-19,33956667,124,Other,,,,,No,Observational study ,,"Milan, Italy",6-May-21
Efficacy of NVX-CoV2373 Covid-19 Vaccine against the B.1.351 Variant,33951374,"4,387",Vaccine,NVX-CoV2373,17-Aug-20,25-Nov-20,101,No,Phase 2a–b randomized trial,,South Africa,5-May-21
"Immunogenicity and safety of a severe acute respiratory syndrome coronavirus 2 inactivated vaccine in healthy adults: randomized, double-blind, and placebo-controlled phase 1 and phase 2 clinical trials",33928916,560,Vaccine,KCONVAC,,,,No,"Phase 1 and phase 2 randomized, double-blind, and placebo-controlled trials","A randomized, double-blind, and placebo-controlled phase 1 and phase 2 clinical trials",China,5-Jun-21
"Efficacy and safety of Reduning injection in the treatment of COVID-19: a randomized, multicenter clinical study",33894725,157,Drug(s),"Traditional Chinese Medicine
(Reduning injection)",6-Feb-20,23-Mar-20,47,No,"A randomized, open-labeled, multicenter, controlled trial ",,China,9-Apr-21
"Safety and immunogenicity of the SARS-CoV-2 BNT162b1 mRNA vaccine in younger and older Chinese adults: a randomized, placebo-controlled, double-blind phase 1 study",33888900,144,Vaccine,BNT162b1 mRNA vaccine,18-Jul-20,14-Aug-20,28,No,"A randomized, placebo-controlled,
double-blind phase 1 study",,China,22-Apr-21
Study of the SARS-CoV-2-specific immune T-cell responses in COVID-19-positive cancer patients,33882374,39,Other,,10-Mar-20,20-May-20,72,No,Monocentric trial,Prospective ,France,26-Mar-21
Safety and Efficacy of Single-Dose Ad26.COV2.S Vaccine against Covid-19,33882225,"39,321",Vaccine,Ad26.COV2.S vaccine,21-Sep-20,22-Jan-21,124,No,"An international, randomized, double-blind, placebo-controlled, phase 3 trial",,,21-Apr-21
Severe Acute Respiratory Syndrome Coronavirus 2 Convalescent Plasma Versus Standard Plasma in Coronavirus Disease 2019 Infected Hospitalized Patients in New York: A Double-Blind Randomized Trial,33870923,74,Plasma | Drug(s),,,,,No,A double-blind randomized trial,,"New York, USA",1-Jul-21
"Side effects of BNT162b2 mRNA COVID-19 vaccine: A randomized, cross-sectional study with detailed self-reported symptoms from healthcare workers",33866000,"1,245",Other,,24-Jan-21,10-Mar-21,46,No,"A randomized, cross-sectional study",,USA,15-Apr-21
"Randomised, controlled, open label, multicentre clinical trial to explore safety and efficacy of hyperbaric oxygen for preventing ICU admission, morbidity and mortality in adult patients with COVID-19",34226219,200,Oxygen support,,,,,No,"A randomised, controlled, phase II, open label, multicentre trial",,Sweden ,5-Jul-21
"Ivermectin to prevent hospitalizations in patients with COVID-19 (IVERCOR-COVID19) a randomized, double-blind, placebo-controlled tria",34215210,501,Drug(s),Ivermectin ,19-Aug-20,22-Feb-21,188,No,"A randomized, double-blind, placebo-controlled trial",,"Corrientes, Argentina",2-Jul-21
Effects of a 2-Week 5000 IU versus 1000 IU Vitamin D3 Supplementation on Recovery of Symptoms in Patients with Mild to Moderate Covid-19: A Randomized Clinical Trial,34202578,36,Drug(s),Vitamin D3,29-Jul-20,22-Sep-20,56,No,"A multi-center, randomized clinical trial",,"Riyadh, Saudi Arabia",24-Jun-21
The Systematic Effect of Mesenchymal Stem Cell Therapy in Critical COVID-19 Patients: A Prospective Double Controlled Trial,34180719,30,Other,,,,,No,Double controlled trial,Prospective,"Istanbul, Turkey",28-Jun-21
Diagnostic accuracy of Panbio rapid antigen tests on oropharyngeal swabs for detection of SARS-CoV-2,34166410,402,Other,,3-Nov-20,19-Nov-20,17,No,,Prospective ,"Geneva, Switzerland",24-Jun-21
Awake prone positioning in patients with hypoxemic respiratory failure due to COVID-19: the PROFLO multicenter randomized clinical trial,34127046,75,Other,,7-Oct-20,7-Feb-21,124,No,"A multicenter, open-label,
parallel arm, randomized clinical superiority trial",,Sweden ,14-Jun-21
Safety of SARS-CoV-2 vaccines: a systematic review and meta-analysis of randomized controlled trials,34225791,"73,633",None/Observatory,,,,,Yes,A systematic review and meta-analysis,,"Shenzhen, China",5-Jul-21
Elevated Procalcitonin Is Positively Associated with the Severity of COVID-19: A Meta-Analysis Based on 10 Cohort Studies,34207689,"7,716",None/Observatory,,,,,Yes,A systematic review and meta-analysis,,China,9-Jun-21
"Single-dose mRNA vaccine effectiveness against SARS-CoV-2, including Alpha and Gamma variants: a test-negative design in adults 70 years and older in British Columbia, Canada",34244723,"16,993",Vaccine,mRNA vaccine,4-Apr-21,1-May-21,28,No,A test-negative study design,,"British Columbia, Canada",9-Jul-21
mRNA-1273 COVID-19 vaccine effectiveness against the B.1.1.7 and B.1.351 variants and severe COVID-19 disease in Qatar,34244681,"256,037",Vaccine,mRNA-1273 COVID-19 vaccine,1-Feb-21,10-May-21,99,No,Cohort study,,Qatar,9-Jul-21
Incidence of SARS-CoV-2 infection in health care workers from Northern Italy based on antibody status: immune protection from secondary infection- A retrospective observational case-control study,34242763,"9,610",None/Observatory,,29-Apr-20,29-May-20,31,No,"An observational, case-control study",Retrospective ,"Pavia, Italy",6-Jul-21
Clinical and bioethical implications of health care interruption during the COVID-19 pandemic: A cross-sectional study in outpatients with rheumatic diseases,34242245,670,Other,,24-Jun-20,31-Oct-20,130,No,A cross-sectional study,,"Mexico City, Mexico",9-Jul-21
Characteristics of SARS-CoV-2 testing for rapid diagnosis of COVID-19 during the initial stages of a global pandemic,34242243,"80,354",Other,,11-Jan-20,22-Apr-20,103,No,Case analysis,,Canada,9-Jul-21
A cross-section observational study on the seroprevalence of antibodies to COVID-19 in patients receiving opiate agonist treatment,34241774,103,Other,,,,,No,A cross-section observational study ,Retrospective ,"New York, USA",9-Jul-21
"Convalescent plasma for COVID-19 in hospitalised patients: an open-label, randomised clinical trial",34244316,160,Plasma,,,,,No,"An investigator-initiated, randomised, parallel arm, open-label, superiority clinical trial",,"Porto Alegre, Brazil",8-Jul-21
"Clinical features and prognosis of COVID-19 patients with metabolic syndrome: A multicenter, retrospective study",34243955,233,Other,,18-Jan-20,26-Feb-20,40,No,"A multicenter, cohort study",Retrospective,China,17-Jun-21
Tocilizumab therapy in SARS-CoV-2 pneumonia: A matched retrospective cohort analysis,34243954,47,Drug(s),Tocilizumab ,,,,No,Single-center matched cohort analysis,Retrospective ,"Madrid, Spain",18-Jun-20
"Ivermectin and mortality in patients with COVID-19: A systematic review, meta-analysis, and meta-regression of randomized controlled trials",34237554,"1,788",None/Observatory,,,,,Yes,"A systematic
review, meta-analysis, and meta-regression of randomized controlled
trials",,Indonesia,27-Jun-21
"Standard prophylactic versus intermediate dose enoxaparin in adults with severe COVID-19: a multi-center, open-label, randomized controlled trial: zed controlled trial",34236768,176,Drug(s),Enoxaparin ,,,,No,"A multi-center, open-label, randomized controlled trial",Prospective,USA,8-Jul-21
Tissue Factor upregulation is associated with SARS-CoV-2 in the lungs of COVID-19 patients,34236752,11,Other,,,,,No,Case report,,USA,8-Jul-21
Evaluation of the relationship between macrophage migration inhibitory factor level and clinical course in patients with COVID-19 pneumonia,34241898,110,Other,,15-Oct-20,20-Jan-21,98,No,Case study,,"Erzurum, Turkey",9-Jul-21
Seroprevalence of antibodies against SARS-CoV-2 virus in Northern Serbia (Vojvodina): A four consecutive sentinel population-based survey study,34242377,"1,232,867",None/Observatory,,30-Apr-20,30-Sep-20,154,No,A  cross-sectional investigationl population-based survey studies,Prospective ,Serbia,9-Jul-21
Antiviral drugs arbidol and interferon alpha-1b contribute to reducing the severity of COVID-19 patients: a retrospective cohort study,34238341,403,Drug(s),Arbidol | Interferon alpha-1b,11-Jan-20,21-May-20,132,No,Cohort study,Retrospective,"Shenzhen, China",8-Jul-21
"Clinical characteristics, risk factors and cardiac manifestations of cancer patients with COVID-19",34236244,"1,244",Other,,1-Feb-20,31-Aug-20,213,No,"A multi-centered, cohort study",Retrospective,"Wuhan, China",8-Jul-21
Serum triglyceride levels and related factors as prognostic indicators in COVID-19 patients: A retrospective study,34236141,186,Other,,9-Feb-20,29-Feb-20,21,No,Case study,Retrospective,"Wuhan, China",8-Jul-21
SARS-CoV-2-specific immune response in COVID-19 convalescent individuals,34234102,171,Other,,,,,No,Cohort study,,"Wuhan, China",7-Jul-21
"Effect of Tenofovir Disoproxil Fumarate and Emtricitabine on nasopharyngeal SARS-CoV-2 viral load burden amongst outpatients with COVID-19: A pilot, randomized, open-label phase 2 trial",34222849,60,Drug(s) | Other,Tenofovir,20-Nov-20,19-Mar-21,120,No,"A pilot randomized, open-label, controlled, phase 2 trial",,France,26-Jun-21
An observational cohort study on the incidence of SARS-CoV-2 infection and B.1.1.7 variant infection in healthcare workers by antibody and vaccination status,34216472,"13,109",Vaccine,Pfizer-BioNTech vaccine | Oxford-AstraZeneca vaccine,,,,No,"An observational, longitudinal, cohort study ",,"Oxford, UK",3-Jul-21
"Epidemiologic, immunologic, and virus characteristics in patients with paired SARS-CoV-2 serology and reverse transcription polymerase chain reaction testing",34216468,592,Other,,31-Aug-20,23-Nov-20,85,No,Cohort study,Retrospective,"Georgia, USA",3-Jul-21
SARS-CoV-2 Vaccine Willingness among Pregnant and Breastfeeding Women during the First Pandemic Wave: A Cross-Sectional Study in Switzerland,34206645,"2,064",Other,,18-Jun-20,12-Jul-20,25,No,Swiss cross-sectional online study,,Switzerland,22-Jun-21
Age-related immune response heterogeneity to SARS-CoV-2 vaccine BNT162b2,34192737,140,Vaccine | Other,BNT162b2,14-Dec-20,10-Feb-20,,No,Cohort study ,,UK,30-Jun-21
Epidemiological study on severe acute respiratory syndrome coronavirus 2 virus transmission network in northeast China,34190148,125,Other,,,,,No,Epidemiological study,,"Jilin, China",2-Jul-21
"Possible Therapeutic Effects of Adjuvant Quercetin Supplementation Against Early-Stage COVID-19 Infection: A Prospective, Randomized, Controlled, and Open-Label Study",34135619,152,Drug(s),Quercetin ,,,,No,"A Randomized, controlled, and open-label study",Prospective,Italy,8-Jun-21
"Co-infections, secondary infections, and antimicrobial use in patients hospitalised with COVID-19 during the first pandemic wave from the ISARIC WHO CCP-UK study: a multicentre, prospective cohort study",34100002,"48,902",Other,,6-Feb-20,8-Jun-20,124,No,"A large multicentre, cohort study",Prospective ,UK,2-Jun-21
Use of Janus kinase inhibitors in COVID-19: a prospective observational series in 522 individuals,34099486,522,Drug(s),"Janus kinase inhibitors
(Baricitinib | Tofactinib)",,,,No,Observational case series,Prospective,"Moscow, Russian",10-May-21
Persistent COVID-19 symptoms are highly prevalent 6 months after hospitalization: results from a large prospective cohort,34125067,"1,137",Other,,24-Jan-20,10-Apr-20,78,No,Cohort study,Prospective ,France,10-May-21
Prospective Assessment of SARS-CoV-2 Seroconversion (PASS) study: an observational cohort study of SARS-CoV-2 infection and vaccination in healthcare workers,34107889,300,Other,,,,,No,"An observational, longitudinal, cohort study",Prospective ,USA,9-Jun-21
A population-based analysis of the longevity of SARS-CoV-2 antibody seropositivity in the United States,34056568,"39,086",Other,,,,,No,A population-based cross-sectional study,,USA,24-May-21
Intravenous immunoglobulin-based adjuvant therapy for severe COVID-19: a single-center retrospective cohort study,34020680,113,IVIG,,28-Jan-20,25-Feb-20,29,No,"Single-center, cohort study",Retrospective ,China,21-May-21
"A retrospective analysis of 12,400 SARS-CoV-2 RNA tests in patients with COVID-19 in Wuhan",34011059,"6,913",Other,,23-Jan-20,3-Mar-20,41,No,Case  analysis,Retrospective ,"Wuhan, China",21-May-21
Prediction of diagnosis and prognosis of COVID-19 disease by blood gas parameters using decision trees machine learning model: a retrospective observational study,34677154,686,None/Observatory,,1-May-20,1-Mar-21,305,No,Observational study,Retrospective ,"Erzincan, Turkey",19-Oct-21
Meta-analysis on the effect of combining Lianhua Qingwen with Western medicine to treat coronavirus disease 2019,34782291,856,Other,,1-Dec-19,14-Jul-20,227,Yes,Randomized controlled trials,Retrospective ,China,2-Nov-21
Efficacy of Bivalirudin for Therapeutic Anticoagulation in COVID-19 Patients Requiring ECMO Support,34782234,42,Drug(s) | Oxygen support,Bivalirudin,17-Jun-19,17-Jun-20,367,No,Case-control study,Retrospective ,"Indianapolis, Indiana, USA",20-Oct-21
Convalescent Plasma for Patients Hospitalized With Coronavirus Disease 2019: A Meta-Analysis With Trial Sequential Analysis of Randomized Controlled Trials,34782209,"16,608",Plasma,,1-Dec-19,1-Aug-21,610,Yes,Randomized controlled trials,,Singapore,10-Oct-21
Nutritional management and clinical outcome of critically ill patients with COVID-19: A retrospective study in a tertiary hospital,34782169,176,Other,,1-Mar-20,5-May-20,66,No,Retrospective cohort study,Retrospective,"Madrid, Spain",1-Nov-21
Standard- versus intermediate-dose enoxaparin for anti-factor Xa guided thromboprophylaxis in critically ill patients with COVID-19,34781984,18,Drug(s),Enoxaparin,31-Mar-20,16-Nov-20,231,No,"Cohort study, brief report",Retrospective,"Liverpool, UK",15-Nov-21
"Pre-exposure prophylaxis with hydroxychloroquine for COVID-19: a double-blind, placebo-controlled randomized clinical trial",34781981,269,Drug(s),Hydroxychloroquine,,,,No," Multicentre, double-blind, placebo-controlled, randomized controlled study",,"Barcelona, Spain",15-Nov-21
"Sampling site for SARS-CoV-2 RT-PCR-An intrapatient four-site comparison from Tampere, Finland",34784386,43,Other, ,15-Jan-21,25-Mar-21,70,No,,Prospective,"Tampere, Finland",16-Nov-21
Efficacy of FFP3 respirators for prevention of SARS-CoV-2 infection in healthcare workers,34783656,609,Other,,2-Nov-20,11-Jan-21,71,No,Observational study,,UK,16-Nov-21
"Co-infections and antimicrobial use among hospitalized COVID-19 patients in Punjab, Pakistan: findings from a multicenter, point prevalence survey",34783630,617,Drug(s),Azithromycin | Ceftriaxone | Meropenem,,,,No,"Multicenter, point prevalence survey",,"Punjab, Pakistan",16-Nov-21
Hematological changes associated with COVID-19 infection,34783405,"714,406",Other,,,,,Yes,Meta analysis and Systematic review,,Iraq,16-Nov-21
Maternal and Neonatal Outcomes of Critically Ill Pregnant and Puerperal Patients Diagnosed with COVID-19 Disease: Retrospective Comparative Study,34783218,19,Other,,,,,No,"Single-center, observational, comparative study",Retrospective,"Sakarya, Turkey",15-Nov-21
Safety and immunogenicity of inactivated COVID-19 vaccine in health care workers,34783049,185,Vaccine,,,,,No,Cohort study,Prospective,"Samut Sakhon, Thailand",15-Nov-21
Improvement of outcome prediction of hospitalized patients with COVID-19 by a dual marker strategy using high-sensitive cardiac troponin I and copeptin,34782921,213,Other,,6-Jun-20,26-Nov-20,174,No,Observational study,Prospective,"Vienna, Austria",15-Nov-21
External validation of the QCovid risk prediction algorithm for risk of COVID-19 hospitalisation and mortality in adults: national validation cohort study in Scotland,34782484,"5,384,819",Other,,,,,No,Cohort study,Prospective,Scotland,15-Nov-21
"Characteristics, Comorbidities, and Outcomes of SARS-CoV-2 Infection in Patients with Autoimmune Conditions Treated with Systemic Therapies: a Population-based Study",34782447,"315,101",Drug(s),Tofacitinib,1-Feb-20,9-Dec-20,313,No,"Descriptive, cohort study",Retrospective,USA,15-Nov-21
Endovascular treatment for vaccine-induced cerebral venous sinus thrombosis and thrombocytopenia following ChAdOx1 nCoV-19 vaccination: a report of three cases,34782400,3,Drug(s) | Other,Low Mwt Heparin | Argatroban | Apixaban,1-Jan-21,20-Jul-21,201,No,Case Report,,"Bristol, UK",15-Nov-21
Acute-to-Chronic Glycemic Ratio as a Predictor of COVID-19 Severity and Mortality,34782352,91,Other,,,,,No,"Single-centered, observational cohort study",,"Barcelona, Spain",15-Nov-21
Suppression of the hypothalamic-pituitary-thyroid axis is associated with the severity of prognosis in hospitalized patients with COVID-19,34781943,235,Other,,22-Jan-20,17-Mar-20,56,No,Observational study,Retrospective,"Wuhan, China",15-Nov-21
A retrospective cohort study of outcomes in hospitalised COVID-19 patients during the first pandemic wave in Ireland,34796450,"4,086",Other,,29-Feb-20,31-Jul-20,154,No,Cohort study,Retrospective,Ireland,19-Nov-21
"Some characteristics of clinical sequelae of COVID-19 survivors from Wuhan, China: A multi-center longitudinal study",34796652,715,Other,,1-Oct-20,1-Nov-20,32,No,A multi-center longitudinal questionnaire-based study,,"Wuhan, China",19-Nov-21
Serial interval of COVID-19 and the effect of Variant B.1.1.7: analyses from prospective community cohort study (Virus Watch),34796276,"24,887",Other,,9-Mar-20,22-Feb,351,No,Community cohort study ,Prospective,UK,9-Sep-21
SARS-CoV-2 Blood RNA Load Predicts Outcome in Critically Ill COVID-19 Patients,34796247,170,Drug(s),"Dexamethasone |	 
 Remdesivir 	
 ",,,,No,Cohort Study,,"Hamburg, Germany",6-Oct-21
Meta-analysis of Randomized Trials of Ivermectin to Treat SARS-CoV-2 Infection,34796244,"3,349",Drug(s),Ivermectin,,,,Yes,Meta-analysis of Randomized Trials,,UK,6-Jul-21
"Association of ABO and Rh Blood Group in Susceptibility, Severity, and Mortality of Coronavirus Disease 2019: A Hospital-Based Study From Delhi, India",34796130,"2,586",Other,,8-Apr-20,4-Oct-20,180,No,"Single-center, retrospective study",Retrospective,"New Delhi, India",2-Nov-21
"COVID-19 in Patients with Diabetes: Clinical Course, Metabolic Status, Inflammation, and Coagulation Disorder",34796000,64,Other,,19-May-20,21-Jun-20,34,No,Cross-sectional comparative study,Prospective,"Nizhny Novgorod, Russia",28-Oct-21
Extracorporeal membrane oxygenation in patients with COVID-19: 1-year experience,34795939,39,Oxygen support,,,,,No,Single-center study,Retrospective,"Aachen, Germany",30-Oct-21
Frequency and factors associated with proteinuria in COVID-19 patients: a cross-sectional study,34795818,80,Other,,10-Mar-20,10-Jul-20,123,No,Cross-sectional study,Retrospective,"Kinshasa, Democratic Republic of the Congo",14-Sep-21
"Longitudinal Follow Up of Immune Responses to SARS-CoV-2 in Health Care Workers in Sweden With Several Different Commercial IgG-Assays, Measurement of Neutralizing Antibodies and CD4 + T-Cell Responses",34795668,314,Other,,17-Mar-20,29-Jan-21,319,No,Longitudinal Study,,"Gothenburg, Sweden",2-Nov-21
"Blood Hemoglobin Substantially Modulates the Impact of Gender, Morbid Obesity, and Hyperglycemia on COVID-19 Death Risk: A Multicenter Study in Italy and Spain",34795637,"5,345",Other,,28-Feb-20,30-Jun-20,124,No,"Multicenter, cohort Study",,(Bologna and Rome) Italy  and (Barcelona and Girona) Spain  ,2-Nov-21
"Coagulation profile and correlation between D-dimer, inflammatory markers, and COVID-19 severity in an Indonesian national referral hospital",34796762,194,Other,,,,,No,Cross-sectional study,Retrospective,"Jakarta, Indonesia",19-Nov-21
Epidemiology of SARS-CoV-2 infection and SARS-CoV-2 positive hospital admissions among children in South Africa,34796674,"3,548,738",Other,,28-Jan-20,19-Sep-20,236,No,,,"Johannesburg, South Africa",18-Nov-21
Prevalence and factors associated with symptom persistence: a prospective study of 429 mild COVID-19 outpatients,34800742,429,Other,,10-Mar-20,18-May-20,70,No,Prospective cohort study,Prospective,"Paris, France",17-Nov-21
Real-world effectiveness of COVID-19 vaccines: a literature review and meta-analysis,34800687,"38,821,141",Vaccine,,6-Aug-20,6-Oct-21,427,Yes,Systematic Review and Meta-Analysis,,,17-Nov-21
"The extent of neuroradiological findings in COVID-19 shows correlation with blood biomarkers, Glasgow Coma Scale score and days in intensive care",34800562,19,Other,,,,,No,"Prospective ,single-centre cohort study",Prospective,Sweden,18-Nov-21
"Aspirin in patients admitted to hospital with COVID-19 (RECOVERY): a randomised, controlled, open-label, platform trial",34800427,"22,560",Drug(s),Aspirin,1-Nov-20,21-Mar-21,141,No,"Randomized, controlled trial",Prospective,,17-Nov-21
"Safety, immunogenicity, and efficacy of a COVID-19 vaccine (NVX-CoV2373) co-administered with seasonal influenza vaccines: an exploratory substudy of a randomised, observer-blinded, placebo-controlled, phase 3 trial",34800364,"15,187",Vaccine,,28-Sep-20,28-Nov-20,62,No,"Randomized, controlled trial",Prospective,UK,17-Nov-21
"Prostacyclin in Mechanically Ventilated Patients with COVID-19 and Severe Endotheliopathy: A Multicenter, Randomized, Clinical Trial",34813414,80,Drug(s),Prostacyclin,15-Jun-20,25-Jan-21,225,No,Multicenter randomized controlled trial,Prospective,"Copenhagen, Denmark",23-Nov-21
Intestinal Collinsella may mitigate infection and exacerbation of COVID-19 by producing ursodeoxycholate,34813629,953,Other,,,,,No,,,Japan,23-Nov-21
Detection of cross-reactive immunoglobulin A against the severe acute respiratory syndrome-coronavirus-2 spike 1 subunit in saliva,34813596,137,Other,,,,,No,,,"Kanagawa, Japan",23-Nov-21
Prior Bariatric Surgery is Associated with a Reduced Risk of Poor Outcomes in COVID-19: Propensity Matched Analysis of a Large Multi-institutional Research Network,34813037,"981,921",Surgery,,20-Jan-20,30-Apr-21,467,No,Cohort study,Retrospective,USA,23-Nov-21
Development and validation of a prediction model for estimating one-month mortality of adult COVID-19 patients presenting at emergency department with suspected pneumonia: a multicenter analysis,34813010,"1,678",Other,,,,,No,Cohort study,Retrospective,"TX, USA",23-Nov-21
12-month SARS-CoV-2 antibody persistency in a Tyrolean COVID-19 cohort,34812944,29,Other,,,,,No,Cohort study,Prospective,"Innsbruck, Austria",23-Nov-21
"Analysis of COVID-19 Infection and Mortality Among Patients With Psychiatric Disorders, 2020",34812848,"2,535,098",Other,,,,,No,Observational cross-sectional cohort study,Retrospective,"TX, USA",1-Nov-21
Variation in COVID-19 Mortality in the US by Race and Ethnicity and Educational Attainment,34812846,"219,100,000",Other,,,,,No,"Population-based, cross-sectional study",,USA,1-Nov-21
"Seroprevalence of SARS-CoV-2 Antibodies Among Children in School and Day Care in Montreal, Canada",34812845,"1,632",Other,,22-Oct-20,22-Mar-21,152,No,Cohort study,,"Montreal, Canada",1-Nov-21
Ten months of temporal variation in the clinical journey of hospitalised patients with COVID-19: an observational cohort,34812731,"142,540",Other,,26-Jan-20,7-Apr-21,438,No,Observational cohort study,prospective,,23-Nov-21
New onset of smell and taste loss are common findings also in patients with symptomatic COVID-19 after complete vaccination,34812498,153,Vaccine,,,,,No,,,Europe,23-Nov-21
Reduced antibody activity against SARS-CoV-2 B.1.617.2 Delta virus in serum of mRNA-vaccinated patients receiving Tumor Necrosis Factor-α inhibitors,34812429,77,Drug(s), TNF-α inhibitors | antimetabolites |antimalarial agents | anti-integrin inhibitors | NSAIDs | anti-IL-23 inhibitor | BCDT | BTKi | Nrf2 activator | SSZ | systemic steroids | anti-BLyS | S1PR mod,,,,No,Cohort study,,"Missouri, USA",18-Nov-21
Sarilumab in adults hospitalised with moderate-to-severe COVID-19 pneumonia (CORIMUNO-SARI-1): An open-label randomised controlled trial,34812424,144,Drug(s),Sarilumab | Remdesivir | Glucocorticoids | Anticoagulants | Tocilizumab,27-Mar-20,6-Apr-20,11,No,"Open-label, randomised, controlled trial",Prospective,France,17-Nov-21
Usefulness of lung ultrasound for selecting asymptomatic older patients with COVID 19 pneumonia,34819555,110,Other,,10-Apr-20,12-Dec-20,247,No, Bicentric cohort study ,Prospective,Italy,24-Nov-21
Correlates of neutralizing/SARS-CoV-2-S1-binding antibody response with adverse effects and immune kinetics in BNT162b2-vaccinated individuals,34819514,225,Vaccine,,,,,No,Observational study,Prospective,Japan,24-Nov-21
Three-month and six-month outcomes of patients with COVID-19 associated hyperinflammation treated with short-term immunosuppressive therapy: follow-up of the CHIC study,34819387,118,Drug(s) | Oxygen support,Methylprednisolone | Tocilizumab | Oxygen support | Antibiotics | Chloroquine | Anticoagulation,1-Mar-20,17-May-20,78,No,Cohort study,Prospective,"Heerlen, The Netherlands",24-Nov-21
COVID-19 hospital activity and in-hospital mortality during the first and second waves of the pandemic in England: an observational study,34819384,"374,244",Other,,1-Mar-20,31-Mar-21,396,No,Observational study,Retrospective,"London, UK",24-Nov-21
"Effect of PEP flute self-care versus usual care in early covid-19: non-drug, open label, randomised controlled trial in a Danish community setting",34819329,378,Oxygen support,,6-Oct-20,26-Feb-21,144,No,Randomized controlled trial,Prospective,Denmark,24-Nov-21
Seroprevalence of anti-SARS-CoV-2 antibodies in women attending antenatal care in eastern Ethiopia: a facility-based surveillance,: 34819290 ,"1,447",Other,,1-Apr-20,31-Mar-21,365,No,,,"Harar, Ethiopia",24-Nov-21
Efficacy and safety of SARS-CoV-2 revaccination in non-responders with immune-mediated inflammatory disease,34819271,66,Vaccine | Drug(s),Rituximab,,,,No,Observational cohort study,Prospective,"Erlangen, Germany",24-Nov-21
Validation of a COVID-19 self-assessment tool for the prediction of COVID-19 in a primary health care setting in Egypt,34819200,818,Other,,,,,No,Cohort study,,"Alexandria, Egypt",25-Nov-21
