Publication Title,PMID,Number of patients,Type of intervention,Drug(s)/Vaccine(s) - if used,"Start date
(if known)","End date 
(if known)","Duration
(in days)",Meta-analysis (Y/N),Type of trial,Retrospective/ Prospective,Geographic location,Date of publication
High-Dose Intravenous Immunoglobulin as a Therapeutic Option for Deteriorating Patients With Coronavirus Disease 2019.,32258207,3,IVIG,Immunoglobulin,,,,No,Case report,,"Wuhan, China",21-Mar-20
Transplantation of ACE2- Mesenchymal Stem Cells Improves the Outcome of Patients with COVID-19 Pneumonia.,32257537,7,"Other
(Intravenous MSC transplantation)",,,,,No,Pilot trial,,"Beijing, China",28-Feb-20
Clinical trials on drug repositioning for COVID-19 treatment.,32256547,,Drug(s),Hydroxychloroquine | Chloroquine | Immunoglobulin | Remdesivir | Arbidol | Darunavir/cobicistat | Lopinavir/ritonavir | Traditional Chinese medicine + Lopinavir-ritonavir/Interferon-α | Interferon α2β | Carrimycin | Danoprevir/ritonavir + Interferon | Xiyanping | Xiyanping + Lopinavir/ritonavir | Oseltamivir/favipiravir/chloroquine | Thalidomide | Vitamin C | Methylprednisolone | Pirfenidone | Bromhexine HCl | Bevacizumab | Fingolimod,,,,Yes,,,,20-Mar-20
Renin-angiotensin system inhibitors improve the clinical outcomes of COVID-19 patients with hypertension.,32228222,42,None/Observatory,,,,,No,Observational study,Retrospective,"Shenzhen, China",17-Mar-20
The different clinical characteristics of corona virus disease cases between children and their families in China - the character of children with COVID-19.,32208917,23,Drug(s) | Others,"Interferon-β
(Inhaled interferon)",,,,No,Case report,Retrospective,"Jinan, China",12-Mar-20
"Lack of Vertical Transmission of Severe Acute Respiratory Syndrome Coronavirus 2, China.",32134381,9,None/Observatory,,,,,No,Descriptive study,,China,17-Jun-20
"Positive rate of RT-PCR detection of SARS-CoV-2 infection in 4880 cases from one hospital in Wuhan, China, from Jan to Feb 2020.",32156607,"4,880",Other,,22-Jan-20,14-Feb-20,24,No,,Retrospective,"Renmin Hospital of Wuhan University, China",6-Mar-20
"A case of imported COVID-19 diagnosed by PCR-positive lower respiratory specimen but with PCR-negative throat swabs.",32238024,1,Other,,,,,No,Case report,,"Chiba, Japan",14-Mar-20
"Novel coronavirus in a 15-day-old neonate with clinical signs of sepsis, a case report.",32233816,1,Drug(s) | Oxygen therapy,Empirical antibiotics | Empirical Antivirals,,,,No,Case report,,"Tehran, Iran",23-Mar-20
Relation Between Chest CT Findings and Clinical Conditions of Coronavirus Disease (COVID-19) Pneumonia: A Multicenter Study.,32125873,101,None/Observatory,,,,,No,Multicenter Study,Retrospective,"Hunan, China",3-Mar-20
Imaging manifestations and diagnostic value of chest CT of coronavirus disease 2019 (COVID-19) in the Xiaogan area.,32216961,114,Other,,,,,No,,,"Hubei, China",23-Mar-20
Imaging and clinical features of patients with 2019 novel coronavirus SARS-CoV-2.,32107577,90,Other,,,,,No,,Retrospective,"Guangzhou, China",28-Feb-20
18F-FDG PET/CT findings of COVID-19: a series of four highly suspected cases.,32088847,4,Other,,,,,No,,Retrospective,"Wuhan, China",22-Feb-20
